"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01033757",2011,"Liverpool 037E","Total",715,133,159,195,131,97
"E01033758",2011,"Liverpool 060B","Total",475,71,67,116,170,51
"E01033759",2011,"Liverpool 010F","Total",480,211,132,104,25,8
"E01033760",2011,"Liverpool 060C","Total",529,67,47,126,172,117
"E01033761",2011,"Liverpool 060D","Total",832,53,178,278,257,66
"E01033762",2011,"Liverpool 060E","Total",456,65,77,103,161,50
"E01033763",2011,"Liverpool 031G","Total",820,192,221,288,85,34
"E01033764",2011,"Liverpool 022E","Total",1172,303,385,365,93,26
"E01033765",2011,"Liverpool 061D","Total",659,197,239,162,48,13
"E01033766",2011,"Liverpool 042G","Total",424,232,109,61,14,8
"E01033767",2011,"Liverpool 050J","Total",562,124,228,173,28,9
"E01033768",2011,"Liverpool 037F","Total",835,87,158,390,176,24
