"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006655",2011,"Liverpool 001C","Total",1758,113,54,40,111,30,52,38,109,141,364,354,92,122,107,21,10,38.4,37
"E01006656",2011,"Liverpool 002B","Total",1493,116,33,37,69,17,30,30,140,118,300,313,87,117,64,15,7,38,37
"E01006657",2011,"Liverpool 002C","Total",1211,96,41,29,57,10,27,23,76,104,281,227,66,101,61,8,4,37.8,37
"E01006658",2011,"Liverpool 001D","Total",1300,57,52,25,88,11,33,30,92,118,248,240,77,133,73,16,7,39.7,39
"E01006659",2011,"Liverpool 005B","Total",1765,63,32,22,58,16,25,47,231,211,495,331,66,70,79,17,2,37.1,35
"E01006660",2011,"Liverpool 001E","Total",1433,89,56,43,93,16,34,39,74,65,282,312,78,124,94,30,4,40,41
"E01006661",2011,"Liverpool 004A","Total",1663,110,52,42,87,22,42,42,119,104,298,340,91,140,121,43,10,40.6,40
"E01006662",2011,"Liverpool 004B","Total",1775,162,54,31,80,9,34,33,94,146,312,282,96,168,157,68,49,42.6,40
"E01006663",2011,"Liverpool 004C","Total",1153,86,52,30,74,15,27,16,75,104,262,229,43,64,64,10,2,36.2,35
"E01006664",2011,"Liverpool 004D","Total",1795,130,68,49,119,23,47,35,120,147,359,335,105,116,109,21,12,37.6,35
"E01006665",2011,"Liverpool 007A","Total",1555,118,53,36,111,18,49,43,84,87,380,379,73,77,42,5,0,35.7,37
"E01006666",2011,"Liverpool 007B","Total",1504,90,54,42,127,35,47,67,96,70,312,399,66,50,42,6,1,34.8,37
"E01006667",2011,"Liverpool 007C","Total",1453,77,46,30,88,7,28,32,85,108,255,357,89,125,87,21,18,41.6,43
"E01006668",2011,"Liverpool 007D","Total",1534,102,76,41,124,28,44,31,84,104,421,323,44,67,36,8,1,33.9,36
"E01006669",2011,"Liverpool 004E","Total",1470,106,59,44,97,22,45,36,107,79,343,359,71,69,25,7,1,34.9,37
"E01006670",2011,"Liverpool 007E","Total",1526,84,62,40,106,24,41,43,89,77,328,385,75,112,51,7,2,37.4,39
"E01006671",2011,"Liverpool 013D","Total",1355,73,39,30,94,14,50,49,103,59,246,354,56,129,47,8,4,38.7,42
"E01006672",2011,"Liverpool 010E","Total",1955,176,85,65,144,40,52,51,130,131,426,337,92,134,78,11,3,34.5,33
"E01006673",2011,"Liverpool 037D","Total",1937,167,60,51,116,32,53,49,248,243,450,217,67,98,66,14,6,32,28
"E01006674",2011,"Liverpool 039C","Total",1885,191,100,53,157,29,69,51,142,175,411,220,71,138,58,14,6,32,29
"E01006675",2011,"Liverpool 043C","Total",1824,55,21,10,33,3,7,35,188,302,596,292,95,89,71,15,12,38.4,34
"E01006676",2011,"Liverpool 044D","Total",1753,165,77,54,144,30,53,44,130,162,372,277,63,107,58,8,9,33,30
"E01006677",2011,"Liverpool 043D","Total",1040,104,55,32,82,14,25,20,67,81,238,166,47,60,38,8,3,33.6,32
"E01006678",2011,"Liverpool 044E","Total",2127,106,60,47,115,25,50,56,188,166,473,413,129,182,85,18,14,38.7,38
"E01006679",2011,"Liverpool 039D","Total",2232,238,102,98,175,41,82,73,177,208,496,235,55,134,86,18,14,31,28
"E01006680",2011,"Liverpool 053B","Total",1569,71,52,30,88,18,51,38,81,85,272,389,107,159,99,20,9,42.1,44
"E01006681",2011,"Liverpool 054D","Total",1585,70,38,24,87,24,32,42,104,99,271,385,113,130,111,34,21,43,45
"E01006682",2011,"Liverpool 053C","Total",1310,69,29,35,95,14,35,31,80,40,204,328,107,138,69,23,13,42.4,46
"E01006683",2011,"Liverpool 053D","Total",1510,66,37,24,112,17,37,39,100,64,242,401,93,142,102,27,7,42.6,45
