"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006610",2011,"Liverpool 009C","Total",669,281,125,156,0,229,12,217,154,146,8,5
"E01006611",2011,"Liverpool 012A","Total",742,267,119,148,0,138,11,127,328,320,8,9
"E01006612",2011,"Liverpool 008B","Total",740,255,113,142,4,415,129,286,52,49,3,14
"E01006613",2011,"Liverpool 009D","Total",611,339,181,158,0,212,52,160,52,44,8,8
"E01006614",2011,"Liverpool 012B","Total",667,326,153,173,2,105,8,97,231,224,7,3
"E01006615",2011,"Liverpool 012C","Total",663,266,109,157,4,167,23,144,211,201,10,15
"E01006616",2011,"Liverpool 015D","Total",613,333,150,183,12,195,59,136,64,62,2,9
"E01006617",2011,"Liverpool 021A","Total",650,457,203,254,1,50,11,39,131,117,14,11
"E01006618",2011,"Liverpool 016C","Total",692,448,218,230,3,184,54,130,49,43,6,8
"E01006619",2011,"Liverpool 021B","Total",734,506,246,260,0,42,11,31,172,158,14,14
"E01006620",2011,"Liverpool 021C","Total",625,458,248,210,0,110,12,98,48,41,7,9
"E01006621",2011,"Liverpool 021D","Total",584,496,260,236,0,22,5,17,57,52,5,9
"E01006622",2011,"Liverpool 021E","Total",586,535,266,269,0,6,1,5,41,40,1,4
"E01006623",2011,"Liverpool 013A","Total",527,494,228,266,0,11,2,9,18,18,0,4
"E01006624",2011,"Liverpool 013B","Total",702,416,160,256,2,158,17,141,117,112,5,9
"E01006625",2011,"Liverpool 016D","Total",609,495,245,250,1,52,8,44,53,49,4,8
"E01006626",2011,"Liverpool 016E","Total",593,467,226,241,4,78,11,67,39,32,7,5
"E01006627",2011,"Liverpool 013C","Total",600,437,201,236,4,86,13,73,61,56,5,12
"E01006628",2011,"Liverpool 052D","Total",651,456,196,260,4,58,1,57,126,118,8,7
"E01006629",2011,"Liverpool 052E","Total",573,376,187,189,1,98,6,92,90,84,6,8
