"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01006721",2011,"Liverpool 038C","Total",1265,643,622,41,92,66,29,22,13,52,111,196
"E01006722",2011,"Liverpool 038D","Total",1541,729,812,81,245,96,51,18,7,24,52,238
"E01006723",2011,"Liverpool 038E","Total",1639,717,922,50,276,86,52,25,25,56,115,237
"E01006724",2011,"Liverpool 038F","Total",1610,675,935,100,345,106,59,14,18,29,60,204
"E01006725",2011,"Liverpool 035B","Total",1199,691,508,12,68,44,36,20,16,56,122,134
"E01006726",2011,"Liverpool 035C","Total",1262,686,576,44,147,56,49,15,14,42,73,136
"E01006727",2011,"Liverpool 035D","Total",1157,745,412,18,79,37,29,3,15,39,98,94
"E01006728",2011,"Liverpool 035E","Total",1229,627,602,27,106,49,30,26,15,56,119,174
"E01006729",2011,"Liverpool 008C","Total",923,473,450,13,48,33,28,9,11,47,125,136
"E01006730",2011,"Liverpool 011C","Total",943,461,482,7,55,24,27,8,13,38,174,136
"E01006731",2011,"Liverpool 011D","Total",859,426,433,13,56,29,20,13,16,41,143,102
"E01006732",2011,"Liverpool 011E","Total",1083,478,605,10,63,37,22,21,20,73,172,187
"E01006734",2011,"Liverpool 005C","Total",968,454,514,9,63,30,21,19,14,70,161,127
"E01006735",2011,"Liverpool 005D","Total",948,455,493,7,48,34,18,12,14,50,170,140
"E01006736",2011,"Liverpool 005E","Total",1073,569,504,20,46,30,18,8,14,38,161,169
"E01006737",2011,"Liverpool 005F","Total",1048,522,526,18,61,31,16,10,11,42,147,190
"E01006738",2011,"Liverpool 058A","Total",1078,571,507,18,48,24,26,22,13,58,169,129
"E01006739",2011,"Liverpool 058B","Total",1233,615,618,10,59,23,25,24,24,69,196,188
"E01006740",2011,"Liverpool 057A","Total",943,428,515,13,40,29,20,22,15,69,154,153
"E01006741",2011,"Liverpool 058C","Total",1335,673,662,8,71,41,31,13,23,90,185,200
"E01006742",2011,"Liverpool 057B","Total",1056,665,391,11,50,23,13,3,9,45,129,108
"E01006743",2011,"Liverpool 058D","Total",1619,1046,573,17,79,40,29,23,15,78,150,142
"E01006744",2011,"Liverpool 057C","Total",1125,737,388,7,42,17,23,19,8,62,133,77
"E01006745",2011,"Liverpool 057D","Total",1422,874,548,21,61,42,22,17,16,60,158,151
"E01006746",2011,"Liverpool 030E","Total",1209,461,748,33,101,62,51,18,9,51,189,234
"E01006747",2011,"Liverpool 031B","Total",3367,1024,2343,138,743,166,78,35,17,40,116,1010
"E01006748",2011,"Liverpool 031C","Total",1701,644,1057,66,295,112,66,25,15,43,109,326
"E01006751",2011,"Liverpool 031F","Total",2116,640,1476,57,246,79,45,33,15,46,207,748
"E01006752",2011,"Liverpool 035F","Total",801,387,414,14,58,24,9,30,4,40,101,134
"E01006753",2011,"Liverpool 059A","Total",1090,530,560,23,45,28,29,30,9,58,168,170
"E01006754",2011,"Liverpool 059B","Total",1199,627,572,10,61,37,35,20,18,46,187,158
"E01006755",2011,"Liverpool 059C","Total",1082,491,591,16,57,52,24,24,20,69,157,172
"E01006756",2011,"Liverpool 059D","Total",1236,606,630,15,81,40,25,14,20,66,172,197
"E01006757",2011,"Liverpool 059E","Total",1027,485,542,12,51,40,27,11,16,55,143,187
"E01006758",2011,"Liverpool 059F","Total",1062,545,517,7,42,47,25,24,17,54,151,150
"E01006759",2011,"Liverpool 028D","Total",848,501,347,12,42,21,19,24,9,36,88,96
"E01006760",2011,"Liverpool 028E","Total",1365,685,680,28,83,50,40,10,15,70,137,247
"E01006761",2011,"Liverpool 020B","Total",1219,654,565,14,64,38,30,13,34,82,150,140
"E01006762",2011,"Liverpool 015E","Total",1231,652,579,13,63,40,26,21,20,73,187,136
"E01006763",2011,"Liverpool 020C","Total",1061,634,427,14,41,26,30,16,16,53,116,115
"E01006764",2011,"Liverpool 020D","Total",1153,634,519,17,65,43,34,15,11,54,124,156
"E01006765",2011,"Liverpool 020E","Total",1076,624,452,9,49,28,25,9,6,66,138,122
"E01006766",2011,"Liverpool 019E","Total",916,476,440,12,59,28,35,21,10,44,97,134
"E01006767",2011,"Liverpool 019F","Total",1316,748,568,9,87,60,25,21,17,61,145,143
"E01006768",2011,"Liverpool 020F","Total",1104,628,476,22,53,28,27,10,21,52,105,158
"E01006769",2011,"Liverpool 040B","Total",894,417,477,7,47,19,12,12,22,59,184,115
"E01006770",2011,"Liverpool 040C","Total",712,366,346,7,37,17,17,16,14,38,112,88
"E01006771",2011,"Liverpool 040D","Total",1049,489,560,7,50,27,11,19,16,69,212,149
"E01006772",2011,"Liverpool 040E","Total",820,457,363,10,41,25,13,11,6,47,119,91
"E01006773",2011,"Liverpool 036D","Total",1049,698,351,10,43,27,15,14,9,59,111,63
"E01006774",2011,"Liverpool 036E","Total",1082,737,345,13,48,24,16,14,10,57,87,76
"E01006775",2011,"Liverpool 040F","Total",986,436,550,9,42,25,28,10,16,57,200,163
"E01006776",2011,"Liverpool 022B","Total",1271,663,608,15,71,25,21,15,16,61,198,186
"E01006778",2011,"Liverpool 014E","Total",1758,815,943,13,83,42,43,25,27,69,314,327
"E01006779",2011,"Liverpool 022D","Total",1417,571,846,15,68,38,29,16,15,61,322,282
"E01006780",2011,"Liverpool 002D","Total",1085,724,361,18,39,33,15,9,18,44,123,62
"E01006781",2011,"Liverpool 003A","Total",1160,825,335,11,35,25,21,16,5,53,99,70
"E01006782",2011,"Liverpool 003B","Total",1189,764,425,24,49,47,26,21,11,40,111,96
"E01006783",2011,"Liverpool 002E","Total",1138,726,412,25,41,23,25,10,11,68,113,96
"E01006784",2011,"Liverpool 003C","Total",1028,723,305,17,34,37,9,14,14,38,81,61
"E01006785",2011,"Liverpool 003D","Total",1310,823,487,16,50,54,30,21,21,57,135,103
"E01006786",2011,"Liverpool 003E","Total",1337,922,415,13,55,31,26,19,14,52,125,80
"E01006787",2011,"Liverpool 006A","Total",1987,942,1045,42,167,89,58,28,39,116,174,332
"E01006788",2011,"Liverpool 006B","Total",1299,844,455,18,42,30,24,17,15,59,143,107
