"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"E01006653",2011,"Liverpool 001B","Total",656,268,53,215,210,83,248,43,205
"E01006654",2011,"Liverpool 005A","Total",627,220,26,194,199,78,188,31,157
"E01006655",2011,"Liverpool 001C","Total",706,279,44,235,231,90,223,39,184
"E01006656",2011,"Liverpool 002B","Total",669,219,34,185,192,94,186,31,155
"E01006657",2011,"Liverpool 002C","Total",582,225,42,183,163,80,186,24,162
"E01006658",2011,"Liverpool 001D","Total",634,305,51,254,173,51,252,36,216
"E01006659",2011,"Liverpool 005B","Total",548,261,47,214,143,52,214,32,182
"E01006660",2011,"Liverpool 001E","Total",616,267,35,232,198,77,252,44,208
"E01006661",2011,"Liverpool 004A","Total",749,413,75,338,215,89,307,40,267
"E01006662",2011,"Liverpool 004B","Total",785,406,64,342,227,128,312,39,273
"E01006663",2011,"Liverpool 004C","Total",510,196,39,157,173,71,168,34,134
"E01006664",2011,"Liverpool 004D","Total",822,410,79,331,253,103,330,61,269
"E01006665",2011,"Liverpool 007A","Total",630,130,16,114,232,97,151,35,116
"E01006666",2011,"Liverpool 007B","Total",514,86,10,76,253,71,110,43,67
"E01006667",2011,"Liverpool 007C","Total",618,231,34,197,173,62,214,40,174
"E01006668",2011,"Liverpool 007D","Total",590,107,20,87,254,84,117,50,67
"E01006669",2011,"Liverpool 004E","Total",551,128,25,103,228,85,118,36,82
"E01006670",2011,"Liverpool 007E","Total",607,157,26,131,231,77,152,34,118
"E01006671",2011,"Liverpool 013D","Total",499,163,30,133,178,58,149,33,116
"E01006672",2011,"Liverpool 010E","Total",798,358,110,248,315,142,264,66,198
"E01006673",2011,"Liverpool 037D","Total",954,468,112,356,249,115,303,62,241
"E01006674",2011,"Liverpool 039C","Total",826,476,134,342,264,134,356,83,273
"E01006675",2011,"Liverpool 043C","Total",1132,424,29,395,101,49,290,19,271
"E01006676",2011,"Liverpool 044D","Total",761,398,121,277,292,128,299,72,227
"E01006677",2011,"Liverpool 043D","Total",477,271,72,199,169,66,189,42,147
"E01006678",2011,"Liverpool 044E","Total",1059,567,98,469,242,90,436,72,364
"E01006679",2011,"Liverpool 039D","Total",920,546,176,370,338,169,313,99,214
"E01006680",2011,"Liverpool 053B","Total",605,197,8,189,184,59,172,27,145
"E01006681",2011,"Liverpool 054D","Total",719,320,28,292,176,57,252,37,215
"E01006682",2011,"Liverpool 053C","Total",498,153,5,148,157,48,130,20,110
"E01006683",2011,"Liverpool 053D","Total",594,190,6,184,182,58,164,31,133
"E01006684",2011,"Liverpool 056B","Total",999,249,17,232,249,103,192,30,162
"E01006685",2011,"Liverpool 056C","Total",604,203,14,189,147,42,168,26,142
"E01006686",2011,"Liverpool 053E","Total",531,175,9,166,152,44,144,29,115
"E01006687",2011,"Liverpool 056D","Total",933,333,16,317,205,100,248,29,219
"E01006688",2011,"Liverpool 056E","Total",712,258,17,241,160,66,183,30,153
"E01006689",2011,"Liverpool 049D","Total",717,226,9,217,195,67,217,38,179
