"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01006710",2011,"Liverpool 045D","Total",592,48,544,27,20,2.5,5.2,3
"E01006711",2011,"Liverpool 027A","Total",685,77,608,54,35,2.2,5.2,2.6
"E01006712",2011,"Liverpool 029D","Total",569,57,512,19,24,2.3,5.4,2.8
"E01006713",2011,"Liverpool 029E","Total",604,56,548,21,23,2.3,5.3,2.7
"E01006716",2011,"Liverpool 032E","Total",701,44,657,66,40,2.1,4.6,2.4
"E01006717",2011,"Liverpool 027D","Total",576,29,547,19,14,2.5,5.8,3
"E01006718",2011,"Liverpool 027E","Total",678,52,626,46,29,2.3,5.6,2.9
"E01006719",2011,"Liverpool 027F","Total",638,44,594,29,21,2.4,5.7,3
"E01006720",2011,"Liverpool 035A","Total",905,59,846,122,84,2.3,4.8,2.5
"E01006721",2011,"Liverpool 038C","Total",912,64,848,115,51,1.8,4.2,2.1
"E01006722",2011,"Liverpool 038D","Total",608,38,570,90,52,2.9,5.8,3.4
"E01006723",2011,"Liverpool 038E","Total",749,63,686,101,53,2.5,5.3,2.9
"E01006724",2011,"Liverpool 038F","Total",554,27,527,80,50,3.2,6.1,3.6
"E01006725",2011,"Liverpool 035B","Total",739,35,704,51,38,2.1,4.9,2.5
"E01006726",2011,"Liverpool 035C","Total",659,47,612,61,45,2.4,5.2,2.8
"E01006727",2011,"Liverpool 035D","Total",665,66,599,55,27,2.2,5.1,2.7
"E01006728",2011,"Liverpool 035E","Total",855,99,756,90,46,1.9,4.3,2.2
"E01006729",2011,"Liverpool 008C","Total",539,26,513,42,28,2.6,5.2,3
"E01006730",2011,"Liverpool 011C","Total",542,19,523,41,30,2.4,5.4,3
"E01006731",2011,"Liverpool 011D","Total",486,12,474,30,22,2.5,5.2,3
"E01006732",2011,"Liverpool 011E","Total",644,12,632,53,32,2.6,5.2,3
"E01006734",2011,"Liverpool 005C","Total",625,22,603,45,24,2.3,4.8,2.7
"E01006735",2011,"Liverpool 005D","Total",571,18,553,32,29,2.3,5.2,2.9
"E01006736",2011,"Liverpool 005E","Total",582,15,567,34,34,2.5,5.6,3
"E01006737",2011,"Liverpool 005F","Total",562,13,549,35,30,2.6,5.5,3
"E01006738",2011,"Liverpool 058A","Total",662,40,622,46,35,2.3,5.1,2.7
"E01006739",2011,"Liverpool 058B","Total",707,23,684,60,32,2.5,5.1,2.8
"E01006740",2011,"Liverpool 057A","Total",604,24,580,49,33,2.1,4.6,2.4
"E01006741",2011,"Liverpool 058C","Total",778,38,740,42,36,2.3,5.2,2.9
"E01006742",2011,"Liverpool 057B","Total",591,33,558,23,22,2.4,5.6,3
"E01006743",2011,"Liverpool 058D","Total",1008,51,957,89,37,2.2,4.9,2.6
