"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006716",2011,"Liverpool 032E","Total",1589,1221,1147,16,4,10,40,0,4,268,100
"E01006717",2011,"Liverpool 027D","Total",1436,1124,1089,2,0,5,25,0,3,210,102
"E01006718",2011,"Liverpool 027E","Total",1587,1189,1152,6,0,0,25,0,6,284,114
"E01006719",2011,"Liverpool 027F","Total",1535,1197,1182,2,0,2,11,0,0,230,108
"E01006720",2011,"Liverpool 035A","Total",2108,1538,1126,25,12,6,343,15,11,403,167
"E01006721",2011,"Liverpool 038C","Total",1655,1117,983,4,8,0,113,6,3,438,100
"E01006722",2011,"Liverpool 038D","Total",1793,1121,821,4,37,10,233,9,7,551,121
"E01006723",2011,"Liverpool 038E","Total",1875,1227,1010,7,63,4,120,9,14,539,109
"E01006724",2011,"Liverpool 038F","Total",1790,1088,962,9,18,4,80,5,10,588,114
"E01006725",2011,"Liverpool 035B","Total",1537,1122,1066,6,10,5,29,1,5,306,109
"E01006726",2011,"Liverpool 035C","Total",1565,1072,924,11,14,1,105,11,6,380,113
"E01006727",2011,"Liverpool 035D","Total",1441,1012,939,11,7,7,35,5,8,348,81
"E01006728",2011,"Liverpool 035E","Total",1623,1110,995,10,6,6,89,1,3,399,114
"E01006729",2011,"Liverpool 008C","Total",1400,1114,1109,1,0,0,3,0,1,213,73
"E01006730",2011,"Liverpool 011C","Total",1326,1063,1053,0,3,0,3,3,1,182,81
"E01006731",2011,"Liverpool 011D","Total",1196,968,954,3,0,0,10,0,1,157,71
"E01006732",2011,"Liverpool 011E","Total",1643,1273,1252,4,0,1,12,0,4,234,136
"E01006734",2011,"Liverpool 005C","Total",1412,1151,1136,0,0,0,14,0,1,185,76
"E01006735",2011,"Liverpool 005D","Total",1309,1073,1061,3,7,0,2,0,0,148,88
"E01006736",2011,"Liverpool 005E","Total",1460,1200,1195,1,0,0,4,0,0,184,76
"E01006737",2011,"Liverpool 005F","Total",1435,1171,1168,0,0,0,2,0,1,192,72
"E01006738",2011,"Liverpool 058A","Total",1501,1201,1193,1,0,1,4,0,2,207,93
"E01006739",2011,"Liverpool 058B","Total",1769,1381,1360,0,6,1,11,2,1,293,95
"E01006740",2011,"Liverpool 057A","Total",1280,1020,960,12,2,0,43,0,3,200,60
"E01006741",2011,"Liverpool 058C","Total",1815,1414,1398,5,0,4,2,0,5,272,129
"E01006742",2011,"Liverpool 057B","Total",1394,1074,1057,5,1,1,9,0,1,234,86
"E01006743",2011,"Liverpool 058D","Total",2175,1667,1626,3,6,8,20,2,2,399,109
"E01006744",2011,"Liverpool 057C","Total",1482,1151,1124,7,4,5,10,0,1,261,70
"E01006745",2011,"Liverpool 057D","Total",1879,1342,1314,5,4,4,5,6,4,418,119
"E01006746",2011,"Liverpool 030E","Total",1513,1109,1017,3,16,2,64,4,3,293,111
"E01006747",2011,"Liverpool 031B","Total",3552,2182,1710,66,78,3,289,26,10,1160,210
"E01006748",2011,"Liverpool 031C","Total",1936,1286,1083,14,53,5,123,4,4,543,107
