"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006658",2011,"Liverpool 001D","Total",1300,222,157,921,123,93,622,506,412,221,120,41,1146,67,31,56
"E01006659",2011,"Liverpool 005B","Total",1765,261,210,1294,163,169,1074,637,635,293,160,40,1615,65,29,56
"E01006660",2011,"Liverpool 001E","Total",1433,266,118,1049,127,66,691,651,381,223,124,54,1252,81,38,62
"E01006661",2011,"Liverpool 004A","Total",1663,327,212,1124,158,120,758,632,504,291,164,72,1452,75,48,88
"E01006662",2011,"Liverpool 004B","Total",1775,398,241,1136,140,97,760,717,496,321,183,58,1599,75,29,72
"E01006663",2011,"Liverpool 004C","Total",1153,152,103,898,86,67,603,545,319,178,85,26,1029,62,20,42
"E01006664",2011,"Liverpool 004D","Total",1795,282,210,1303,149,137,862,780,520,279,161,55,1607,89,45,54
"E01006665",2011,"Liverpool 007A","Total",1555,133,126,1296,81,94,920,841,456,172,57,29,1370,119,15,51
"E01006666",2011,"Liverpool 007B","Total",1504,102,84,1318,64,62,931,887,428,131,47,11,1340,111,20,33
"E01006667",2011,"Liverpool 007C","Total",1453,220,151,1082,103,88,763,646,447,223,103,34,1266,95,33,59
"E01006668",2011,"Liverpool 007D","Total",1534,102,106,1326,60,66,925,867,470,116,67,14,1363,111,25,35
"E01006669",2011,"Liverpool 004E","Total",1470,96,87,1287,60,66,914,828,446,122,56,18,1316,95,29,30
"E01006670",2011,"Liverpool 007E","Total",1526,154,113,1259,83,75,880,786,478,159,76,27,1326,115,32,53
"E01006671",2011,"Liverpool 013D","Total",1355,173,125,1057,87,71,759,659,414,161,85,36,1170,96,39,50
"E01006672",2011,"Liverpool 010E","Total",1955,266,179,1510,169,96,954,940,554,268,141,52,1719,106,44,86
"E01006673",2011,"Liverpool 037D","Total",1937,237,173,1527,147,112,1068,872,604,277,143,41,1777,74,35,51
"E01006674",2011,"Liverpool 039C","Total",1885,259,237,1389,147,154,838,876,499,284,181,45,1727,71,29,58
"E01006675",2011,"Liverpool 043C","Total",1824,264,186,1374,154,145,1216,772,566,298,154,34,1697,84,23,20
"E01006676",2011,"Liverpool 044D","Total",1753,252,189,1312,165,120,816,746,541,264,148,54,1591,71,40,51
"E01006677",2011,"Liverpool 043D","Total",1040,147,104,789,95,62,487,465,300,162,82,31,957,33,20,30
"E01006678",2011,"Liverpool 044E","Total",2127,406,269,1452,254,188,1033,817,605,375,240,90,1844,154,41,88
"E01006679",2011,"Liverpool 039D","Total",2232,322,257,1653,159,177,990,1033,645,332,168,54,2036,98,40,58
"E01006680",2011,"Liverpool 053B","Total",1569,129,143,1297,53,77,893,819,493,175,63,19,1348,150,27,44
"E01006681",2011,"Liverpool 054D","Total",1585,221,179,1185,113,105,828,698,491,254,109,33,1380,118,34,53
"E01006682",2011,"Liverpool 053C","Total",1310,91,116,1103,30,45,750,712,394,142,52,10,1115,133,20,42
"E01006683",2011,"Liverpool 053D","Total",1510,142,138,1230,58,54,864,770,490,161,75,14,1287,138,32,53
"E01006684",2011,"Liverpool 056B","Total",2138,183,168,1787,68,81,1307,1174,619,239,93,13,1850,190,39,59
"E01006685",2011,"Liverpool 056C","Total",1484,159,141,1184,59,67,828,734,458,206,64,22,1305,120,31,28
"E01006686",2011,"Liverpool 053E","Total",1433,119,129,1185,38,60,825,798,412,149,63,11,1209,132,43,49
"E01006687",2011,"Liverpool 056D","Total",1952,233,168,1551,109,89,1125,1015,549,259,110,19,1729,148,32,43
"E01006688",2011,"Liverpool 056E","Total",1524,157,154,1213,74,84,869,743,498,189,78,16,1356,97,32,39
"E01006689",2011,"Liverpool 049D","Total",1651,163,147,1341,66,71,940,861,494,205,81,10,1451,130,30,40
"E01006690",2011,"Liverpool 028A","Total",1492,183,157,1152,116,115,902,622,488,231,122,29,1366,66,35,25
"E01006691",2011,"Liverpool 030A","Total",1503,167,151,1185,109,92,817,664,497,222,93,27,1382,55,22,44
"E01006692",2011,"Liverpool 028B","Total",2180,289,228,1663,187,156,1155,948,702,302,175,53,1967,107,32,74
"E01006693",2011,"Liverpool 024D","Total",1511,372,234,905,182,135,641,486,402,338,208,77,1333,77,38,63
"E01006694",2011,"Liverpool 030B","Total",1864,216,150,1498,131,96,1073,828,619,253,126,38,1709,64,39,52
"E01006695",2011,"Liverpool 028C","Total",1821,223,214,1384,177,168,1084,755,629,284,120,33,1687,86,24,24
"E01006696",2011,"Liverpool 030C","Total",1744,238,186,1320,161,126,905,759,538,276,134,37,1587,68,30,59
"E01006697",2011,"Liverpool 030D","Total",1845,226,176,1443,135,109,1015,800,582,302,120,41,1671,72,33,69
"E01006698",2011,"Liverpool 012D","Total",1716,185,139,1392,95,87,941,823,528,224,116,25,1516,104,36,60
"E01006699",2011,"Liverpool 014A","Total",1594,299,177,1118,185,128,759,613,478,286,163,54,1417,59,36,82
"E01006700",2011,"Liverpool 012E","Total",1438,239,168,1031,138,105,733,587,438,258,120,35,1297,60,27,54
"E01006701",2011,"Liverpool 014B","Total",1380,226,169,985,139,113,727,558,417,251,114,40,1216,81,33,50
"E01006702",2011,"Liverpool 014C","Total",1618,246,210,1162,141,130,788,651,476,309,141,41,1443,61,39,75
"E01006703",2011,"Liverpool 014D","Total",1561,313,224,1024,197,145,719,576,435,294,192,64,1404,67,31,59
"E01006705",2011,"Liverpool 009E","Total",1409,155,158,1096,95,105,804,646,421,233,91,18,1262,92,15,40
"E01006706",2011,"Liverpool 045A","Total",1346,263,176,907,139,97,606,516,430,238,133,29,1174,70,32,70
"E01006707",2011,"Liverpool 045B","Total",1323,292,176,855,139,88,545,502,370,256,143,52,1151,65,41,66
"E01006708",2011,"Liverpool 045C","Total",1805,303,200,1302,114,113,891,770,544,312,138,41,1607,74,44,80
